   0 Microsoft サウンド マッパー - Input, MME (2 in, 0 out)
>  1 CABLE Output (VB-Audio Virtual , MME (2 in, 0 out)
   2 マイク (Yeti X), MME (2 in, 0 out)
   3 Anker PowerConf C300 (Anker Pow, MME (2 in, 0 out)
   4 ライン (Yamaha SYNCROOM Driver (WD, MME (2 in, 0 out)
   5 Microsoft サウンド マッパー - Output, MME (0 in, 2 out)
<  6 DELL S2722QC (NVIDIA High Defin, MME (0 in, 2 out)
   7 スピーカー (Yeti X), MME (0 in, 2 out)
   8 ライン (Yamaha SYNCROOM Driver (WD, MME (0 in, 2 out)
   9 CABLE Input (VB-Audio Virtual C, MME (0 in, 2 out)
  10 EV2480 (NVIDIA High Definition , MME (0 in, 2 out)
  11 Realtek Digital Output (Realtek, MME (0 in, 2 out)
  12 プライマリ サウンド キャプチャ ドライバー, Windows DirectSound (2 in, 0 out)
  13 CABLE Output (VB-Audio Virtual Cable), Windows DirectSound (2 in, 0 out)
  14 マイク (Yeti X), Windows DirectSound (2 in, 0 out)
  15 Anker PowerConf C300 (Anker PowerConf C300), Windows DirectSound (2 in, 0 out)
  16 ライン (Yamaha SYNCROOM Driver (WDM)), Windows DirectSound (2 in, 0 out)
  17 プライマリ サウンド ドライバー, Windows DirectSound (0 in, 2 out)
  18 DELL S2722QC (NVIDIA High Definition Audio), Windows DirectSound (0 in, 2 out)
  19 スピーカー (Yeti X), Windows DirectSound (0 in, 8 out)
  20 ライン (Yamaha SYNCROOM Driver (WDM)), Windows DirectSound (0 in, 2 out)
  21 CABLE Input (VB-Audio Virtual Cable), Windows DirectSound (0 in, 2 out)
  22 EV2480 (NVIDIA High Definition Audio), Windows DirectSound (0 in, 2 out)
  23 Realtek Digital Output (Realtek High Definition Audio), Windows DirectSound (0 in, 2 out)
  24 スピーカー (Yeti X), Windows WASAPI (0 in, 8 out)
  25 ライン (Yamaha SYNCROOM Driver (WDM)), Windows WASAPI (0 in, 2 out)
  26 CABLE Input (VB-Audio Virtual Cable), Windows WASAPI (0 in, 2 out)
  27 DELL S2722QC (NVIDIA High Definition Audio), Windows WASAPI (0 in, 2 out)
  28 EV2480 (NVIDIA High Definition Audio), Windows WASAPI (0 in, 2 out)
  29 Realtek Digital Output (Realtek High Definition Audio), Windows WASAPI (0 in, 2 out)
  30 マイク (Yeti X), Windows WASAPI (2 in, 0 out)
  31 CABLE Output (VB-Audio Virtual Cable), Windows WASAPI (2 in, 0 out)
  32 Anker PowerConf C300 (Anker PowerConf C300), Windows WASAPI (2 in, 0 out)
  33 ライン (Yamaha SYNCROOM Driver (WDM)), Windows WASAPI (2 in, 0 out)
  34 Speakers (Yeti X), Windows WDM-KS (0 in, 8 out)
  35 Microphone (Yeti X), Windows WDM-KS (2 in, 0 out)
  36 Stereo Mix (Realtek HD Audio Stereo input), Windows WDM-KS (2 in, 0 out)
  37 Line In (Realtek HD Audio Line input), Windows WDM-KS (2 in, 0 out)
  38 Microphone (Realtek HD Audio Mic input), Windows WDM-KS (2 in, 0 out)
  39 SPDIF Out (Realtek HDA SPDIF Out), Windows WDM-KS (0 in, 2 out)
  40 Speakers (Realtek HD Audio output), Windows WDM-KS (0 in, 8 out)
  41 CABLE Output (VB-Audio Point), Windows WDM-KS (8 in, 0 out)
  42 Speakers (VB-Audio Point), Windows WDM-KS (0 in, 8 out)
  43 Krisp Microphone (), Windows WDM-KS (2 in, 0 out)
  44 Speakers (), Windows WDM-KS (0 in, 2 out)
  45 Headphones (), Windows WDM-KS (0 in, 2 out)
  46 Output (NVIDIA High Definition Audio), Windows WDM-KS (0 in, 2 out)
  47 Output (), Windows WDM-KS (0 in, 2 out)
  48 Headset Earphone (@System32\drivers\bthhfenum.sys,#2;%1 Hands-Free%0
;(SRS-XB43)), Windows WDM-KS (0 in, 1 out)
  49 Headset Microphone (@System32\drivers\bthhfenum.sys,#2;%1 Hands-Free%0
;(SRS-XB43)), Windows WDM-KS (1 in, 0 out)
  50 Line (DUETTO Wave), Windows WDM-KS (2 in, 0 out)
  51 Line Out (DUETTO Wave), Windows WDM-KS (0 in, 2 out)
  52 Headset (@System32\drivers\bthhfenum.sys,#2;%1 Hands-Free%0
;(WH-CH720N)), Windows WDM-KS (0 in, 1 out)
  53 Headset (@System32\drivers\bthhfenum.sys,#2;%1 Hands-Free%0
;(WH-CH720N)), Windows WDM-KS (1 in, 0 out)
  54 Anker PowerConf C300 (Anker PowerConf C300), Windows WDM-KS (2 in, 0 out)
  55 Speakers (), Windows WDM-KS (0 in, 2 out)
  56 Headset (@System32\drivers\bthhfenum.sys,#2;%1 Hands-Free%0
;(AirPods Pro - Find My)), Windows WDM-KS (0 in, 1 out)
  57 Headset (@System32\drivers\bthhfenum.sys,#2;%1 Hands-Free%0
;(AirPods Pro - Find My)), Windows WDM-KS (1 in, 0 out)
  58 Headphones (), Windows WDM-KS (0 in, 2 out)
